VendName,Year of Po Date,Dept Desc_Num   ,Facility Dept,MnfrName,Unspsc Segment,And Filter,Direct Filter,Dwh Po Status,Exp_Code,Exp_Code_Desc,Facility,Has Contract,MfrCatno,MfrName,Po Date,Pono Release,PoType,SEARCH,Source Code,Unspsc Commodity,VendCatno,Dept Description,Dept Number,Expense Code Descrip,GHX_CONT_ID1,GHX_CONT_ID2,ItemDesc,Mmis Obj Code,MnfrCatNo,PO_QTY_CALC,Qty Invoiced,Qty Received,Po Qty,Qoe Conv Ea,Qty in EA,Qty in EA test,SPEND,SPEND_VALUE,ALIAS,ATTRIBUTE49,Buyer,Buyer Name,Commodity+MFR,Creation Method,Deliverto,Dept Desc_Num,Dwh Facility,Dwh Item Status,Dwh Po Line Status,Dwh Po Submit Type,Exp_Code_Filter_Check,Exp_Desc_Filter_Check,Ext Price,Facility Id,FacilityVend,Full Gl Account,GHX_CONT_ID1_1,GHX_CONT_ID1_CALC,Has Contract (1),Has Contract Old,INVAMT,Item#,Mfr Name,MFR_VEN Name,Mmis Pkg String,Mmis Qoe,NonContract PunchOut,Null,PACKS_CONT_ID,pick Exp_Code,pick Exp_Desc,Po Create Date,Po Line Status,Po Lineno,Po Price,Po Status,Po Uom,PO_DATE,PunchOut Detail,Req Date,Reqno,Requisitioner,Service End,Service Start,Shipto,SPEND % (for Trend),Unspsc Class,Unspsc Code,Unspsc Family,Vend Name,VendCode
MEDLINE INDUSTRIES INC,2024,"RENAL DIALYSIS INSTITUTE, 77047",MOUNT SINAI BROOKLYN,B. BRAUN,IV SOLUTIONS,True,True,CLOSED,903033,"903033, IV SOLUTIONS",MOUNT SINAI BROOKLYN,Yes,E8000,B. BRAUN,11/12/2024 12:00:00 AM,B1004176,GOODS,SOL SOD CHL 0.9 PERC 1000ML INJ BAG - SUB 1 FOR L8000E8000BMGE8000,ORAPOS,IV SOLUTIONS,BMGE8000,RENAL DIALYSIS INSTITUTE,77047,IV SOLUTIONS,MSHS-BRAUN-PP-IV,,SOL SOD CHL 0.9 PERC 1000ML INJ BAG - SUB 1 FOR L8000,903033,E8000,2,2,2,2,12,24,24,39.56,39.56,NF,NF,AMPONSAH EMMANUEL,AMPONSAH EMMANUEL,"IV SOLUTIONS 
 
B. BRAUN",Y,3201 KINGS HGWY 2 E #201 DIALYSIS 2 EAST #201 DIALYSIS,"RENAL DIALYSIS INSTITUTE, 77047",MOUNT SINAI BROOKLYN,ACTIVE,CLOSED,EDI,TRUE,TRUE,39.56,MOUNT SINAI BROOKLYN,MOUNT SINAI BROOKLYN,402-407-11-77047-903033-00000000000-000-0000-000-00000-00000----,False,MSHS-BRAUN-PP-IV,Yes,Yes,39.56,8323969,B. BRAUN,B. BRAUN,NF,12,No, ,NO,903033, IV SOLUTIONS,11/12/2024 12:00:00 AM,CLOSED,4-1-1,19.78,CLOSED,CASE,11/12/2024 12:00:00 AM,NF,11/12/2024 12:00:00 AM,K920,"FORBES HEBBERT, MS. HILZA",,,MOUNT SINAI BROOKLYN - RECVG MAIN,39.56,NF,NF,NF,MEDLINE INDUSTRIES INC,12422
MEDLINE INDUSTRIES INC,2024,"NURSING ACUTE DIALYSIS-BKL, 11101",MOUNT SINAI BROOKLYN,B. BRAUN MEDICAL,PHARMACEUTICAL PRODUCTS INCL. CONTRACEPTIVES AND VACCINES,True,True,PROCESSED,903037,"903037, MED/SURG DISPOSABLE",MOUNT SINAI BROOKLYN,Yes,E8000,B. BRAUN MEDICAL,4/30/2024 12:00:00 AM,1314081-48302,GOODS,SOL SOD CHL 0.9 PERC 1000ML INJ BAG - SUB 1 FOR L8000E8000BMGE8000,ORAPOS,SODIUM CHLORIDE ELECTROLYTES,BMGE8000,NURSING ACUTE DIALYSIS-BKL,11101,MED/SURG DISPOSABLE,MSHS-BRAUN-PP-IV,MSHS-BRAUN-PP-IV,SOL SOD CHL 0.9 PERC 1000ML INJ BAG - SUB 1 FOR L8000,903037,E8000,4,4,4,4,12,48,48,79.12,79.12,402-407-11-11101-00000000000-0-0,NF,BUYER   CONVERSION,"BUYER, CONVERSION","SODIUM CHLORIDE ELECTROLYTES 
 
B. BRAUN MEDICAL",SYSTEM CREATED,KH 1417 4709,"NURSING ACUTE DIALYSIS-BKL, 11101",MOUNT SINAI BROOKLYN,ACTIVE,CLOSED,EDI,TRUE,TRUE,79.12,CHP,MOUNT SINAI BROOKLYN,4709-900110-07-1417-0000000000-0000-000-000,False,MSHS-BRAUN-PP-IV,Yes,Yes,79.12,8323969,B. BRAUN MEDICAL,B. BRAUN MEDICAL,CA12,12,No, ,NO,903037, MED/SURG DISPOSABLE,4/30/2024 12:00:00 AM,CLOSED,1174-4-1,19.78,APPROVED,CASE,4/30/2024 12:00:00 AM,NF,4/30/2024 12:00:00 AM,3345268,"URBINA, HILZA ROSEL",,,KH KINGS HIGHWAY,79.12,ELECTROLYTES,51191602,AGENTS AFFECTING WATER AND ELECTROLYTES,MEDLINE INDUSTRIES INC,12422
MEDLINE INDUSTRIES INC,2023,"CARDIAC CATHERIZATION, 12605",MOUNT SINAI MORNINGSIDE,B BRAUN,DRUGS AND PHARMACEUTICAL PRODUCTS,True,True,PROCESSED,903037,"903037, MED/SURG DISPOSABLE",MOUNT SINAI MORNINGSIDE,Yes,E8000,B BRAUN,8/21/2023 12:00:00 AM,1314081-31384,GOODS,SOL SOD CHL 0.9 PERC 1000ML INJ BAG - SUB 1 FOR L8000E8000BMGE8000,ORAPOS,SODIUM CHLORIDE ELECTROLYTES,BMGE8000,CARDIAC CATHERIZATION,12605,MED/SURG DISPOSABLE,MSHS-BRAUN-PP-IV,MSHS-BRAUN-PP-IV,SOL SOD CHL 0.9 PERC 1000ML INJ BAG - SUB 1 FOR L8000,903037,E8000,1,1,1,1,12,12,12,19.78,19.78,302-302-11-12605-00000000000-0-0,NF,BUYER   CONVERSION,"BUYER, CONVERSION","SODIUM CHLORIDE ELECTROLYTES 
 
B BRAUN",SYSTEM CREATED,SL 4058 1109 1,"CARDIAC CATHERIZATION, 12605",MOUNT SINAI MORNINGSIDE,ACTIVE,CLOSED,EDI,TRUE,TRUE,19.78,CHP,MOUNT SINAI MORNINGSIDE,1109-900110-02-4058-0000000000-0000-000-000,False,MSHS-BRAUN-PP-IV,Yes,Yes,19.78,8323969,B BRAUN,B BRAUN,CA12,12,No, ,NO,903037, MED/SURG DISPOSABLE,8/21/2023 12:00:00 AM,CLOSED,1174-2-1,19.78,APPROVED,CASE,8/21/2023 12:00:00 AM,NF,8/21/2023 12:00:00 AM,3251284,"TORRES, ERIKA E",,,SL ST LUKES,19.78,ELECTROLYTES,51191602,AGENTS AFFECTING WATER AND ELECTROLYTES,MEDLINE INDUSTRIES INC,12422
MEDLINE INDUSTRIES INC,2024,"PHARMACY, 21300",MOUNT SINAI WEST,B. BRAUN MEDICAL,PHARMACEUTICAL PRODUCTS INCL. CONTRACEPTIVES AND VACCINES,True,True,PROCESSED,903037,"903037, MED/SURG DISPOSABLE",MOUNT SINAI WEST,Yes,E8000,B. BRAUN MEDICAL,7/1/2024 12:00:00 AM,1314081-52290,GOODS,SOL SOD CHL 0.9 PERC 1000ML INJ BAG - SUB 1 FOR L8000E8000BMGE8000,ORAPOS,SODIUM CHLORIDE ELECTROLYTES,BMGE8000,PHARMACY,21300,MED/SURG DISPOSABLE,MSHS-BRAUN-PP-IV,MSHS-BRAUN-PP-IV,SOL SOD CHL 0.9 PERC 1000ML INJ BAG - SUB 1 FOR L8000,903037,E8000,2,2,2,2,12,24,24,39.56,39.56,301-301-11-21300-00000000000-0-0,NF,BUYER   CONVERSION,"BUYER, CONVERSION","SODIUM CHLORIDE ELECTROLYTES 
 
B. BRAUN MEDICAL",SYSTEM CREATED,RH 9400 1109,"PHARMACY, 21300",MOUNT SINAI WEST,ACTIVE,CLOSED,EDI,TRUE,TRUE,39.56,CHP,MOUNT SINAI WEST,1109-900110-01-9400-0000000000-0000-000-000,False,MSHS-BRAUN-PP-IV,Yes,Yes,39.56,8323969,B. BRAUN MEDICAL,B. BRAUN MEDICAL,NF,12,No, ,NO,903037, MED/SURG DISPOSABLE,7/1/2024 12:00:00 AM,CLOSED,1174-1-1,19.78,APPROVED,CASE,7/1/2024 12:00:00 AM,NF,7/1/2024 12:00:00 AM,3367219,"KELLY, DAVID FRANKLIN",,,RH ROOSEVELT,39.56,ELECTROLYTES,51191602,AGENTS AFFECTING WATER AND ELECTROLYTES,MEDLINE INDUSTRIES INC,12422
MEDLINE INDUSTRIES INC,2024,"CARDIOVASCULAR RESEARCH INSTITUTE, 32074",ICAHN SCHOOL OF MEDICINE,B. BRAUN,LAB SUPPLIES,True,True,CLOSED,903035,"903035, LAB SUPPLIES",ICAHN SCHOOL OF MEDICINE,Yes,E8000,B. BRAUN,10/11/2024 12:00:00 AM,S3000150,GOODS,SOL SOD CHL 0.9 PERC 1000ML INJ BAG - SUB 1 FOR L8000E8000BMGE8000,ORAPOS,LAB SUPPLIES,BMGE8000,CARDIOVASCULAR RESEARCH INSTITUTE,32074,LAB SUPPLIES,MSHS-BRAUN-PP-IV,,SOL SOD CHL 0.9 PERC 1000ML INJ BAG - SUB 1 FOR L8000,903035,E8000,1,1,1,1,12,12,12,19.78,19.78,NF,NF,BRATHWAITE KEISHA,BRATHWAITE KEISHA,"LAB SUPPLIES 
 
B. BRAUN",Y,"ANNENBERG, 26, 214","CARDIOVASCULAR RESEARCH INSTITUTE, 32074",ICAHN SCHOOL OF MEDICINE,ACTIVE,CLOSED,EDI,TRUE,TRUE,19.78,ICAHN SCHOOL OF MEDICINE,ICAHN SCHOOL OF MEDICINE,201-953-41-32074-903035-IF320741064-111-4104-000-00000-00000----,False,MSHS-BRAUN-PP-IV,Yes,Yes,19.78,8323969,B. BRAUN,B. BRAUN,NF,12,No, ,NO,903035, LAB SUPPLIES,10/11/2024 12:00:00 AM,CLOSED,1-1-1,19.78,CLOSED,CASE,10/11/2024 12:00:00 AM,NF,10/11/2024 12:00:00 AM,S1412,ISHIKAWA KIYOTAKE,,,ICAHN - RECVG MAIN,19.78,NF,NF,NF,MEDLINE INDUSTRIES INC,12422
MEDLINE INDUSTRIES INC,2024,"NURSING ADMINISTRATION, 10101",MOUNT SINAI QUEENS,B. BRAUN,IV SOLUTIONS,True,True,CLOSED,903033,"903033, IV SOLUTIONS",MOUNT SINAI QUEENS,Yes,E8000,B. BRAUN,11/5/2024 12:00:00 AM,M3011559,GOODS,SOL SOD CHL 0.9 PERC 1000ML INJ BAG - SUB 1 FOR L8000E8000BMGE8000,ORAPOS,IV SOLUTIONS,BMGE8000,NURSING ADMINISTRATION,10101,IV SOLUTIONS,MSHS-BRAUN-PP-IV,,SOL SOD CHL 0.9 PERC 1000ML INJ BAG - SUB 1 FOR L8000,903033,E8000,2,2,2,2,12,24,24,39.56,39.56,NF,NF,GADSDEN CHONTE,GADSDEN CHONTE,"IV SOLUTIONS 
 
B. BRAUN",Y,10101 NSG ADMIN 25-10 30TH AVE 2F,"NURSING ADMINISTRATION, 10101",MOUNT SINAI QUEENS,ACTIVE,CLOSED,EDI,TRUE,TRUE,39.56,MOUNT SINAI QUEENS,MOUNT SINAI QUEENS,102-107-11-10101-903033-00000000000-000-0000-000-00000-00000----,False,MSHS-BRAUN-PP-IV,Yes,Yes,39.56,8323969,B. BRAUN,B. BRAUN,NF,12,No, ,NO,903033, IV SOLUTIONS,11/5/2024 12:00:00 AM,CLOSED,1-1-1,19.78,CLOSED,CASE,11/5/2024 12:00:00 AM,NF,11/5/2024 12:00:00 AM,Q946,VILLANUEVA ALFREDO,,,MOUNT SINAI QUEENS - RECVG MAIN,39.56,NF,NF,NF,MEDLINE INDUSTRIES INC,12422
MEDLINE INDUSTRIES INC,2024,"CARDIAC CATHERIZATION, 12605",MOUNT SINAI MORNINGSIDE,B. BRAUN,PHARMACEUTICAL PRODUCTS INCL. CONTRACEPTIVES AND VACCINES,True,True,PROCESSED,903037,"903037, MED/SURG DISPOSABLE",MOUNT SINAI MORNINGSIDE,Yes,E8000,B. BRAUN,9/17/2024 12:00:00 AM,1471305,GOODS,SOL SOD CHL 0.9 PERC 1000ML INJ BAG - SUB 1 FOR L8000E8000BMGE8000,ORAPOS,SODIUM CHLORIDE ELECTROLYTES,BMGE8000,CARDIAC CATHERIZATION,12605,MED/SURG DISPOSABLE,MSHS-BRAUN-PP-IV,MSHS-BRAUN-PP-IV,SOL SOD CHL 0.9 PERC 1000ML INJ BAG - SUB 1 FOR L8000,903037,E8000,1,1,1,1,12,12,12,19.78,19.78,302-302-11-12605-00000000000-0-0,NF,BANNERMAN   TRACEY,"BANNERMAN, TRACEY","SODIUM CHLORIDE ELECTROLYTES 
 
B. BRAUN",BUYER CREATED,SLCCLSR03A,"CARDIAC CATHERIZATION, 12605",MOUNT SINAI MORNINGSIDE,ACTIVE,CLOSED,EDI,TRUE,TRUE,19.78,CHP,MOUNT SINAI MORNINGSIDE,1109-900110-02-4058-0000000000-0000-000-000,False,MSHS-BRAUN-PP-IV,Yes,Yes,19.78,8323969,B. BRAUN,B. BRAUN,CA12,12,No, ,NO,903037, MED/SURG DISPOSABLE,9/17/2024 12:00:00 AM,CLOSED,1-1-1,19.78,APPROVED,CASE,9/17/2024 12:00:00 AM,NF,9/17/2024 12:00:00 AM,3394227,"TORRES, ERIKA E",,,SL ST LUKES,19.78,ELECTROLYTES,51191602,AGENTS AFFECTING WATER AND ELECTROLYTES,MEDLINE INDUSTRIES INC,12422
MEDLINE INDUSTRIES INC,2024,"CARDIAC CATHERIZATION, 12605",MOUNT SINAI MORNINGSIDE,B. BRAUN,PHARMACEUTICAL PRODUCTS INCL. CONTRACEPTIVES AND VACCINES,True,True,PROCESSED,903037,"903037, MED/SURG DISPOSABLE",MOUNT SINAI MORNINGSIDE,Yes,E8000,B. BRAUN,8/23/2024 12:00:00 AM,1467557,GOODS,SOL SOD CHL 0.9 PERC 1000ML INJ BAG - SUB 1 FOR L8000E8000BMGE8000,ORAPOS,SODIUM CHLORIDE ELECTROLYTES,BMGE8000,CARDIAC CATHERIZATION,12605,MED/SURG DISPOSABLE,MSHS-BRAUN-PP-IV,MSHS-BRAUN-PP-IV,SOL SOD CHL 0.9 PERC 1000ML INJ BAG - SUB 1 FOR L8000,903037,E8000,1,1,1,1,12,12,12,19.78,19.78,302-302-11-12605-00000000000-0-0,NF,BANNERMAN   TRACEY,"BANNERMAN, TRACEY","SODIUM CHLORIDE ELECTROLYTES 
 
B. BRAUN",BUYER CREATED,SLCCLSR03A,"CARDIAC CATHERIZATION, 12605",MOUNT SINAI MORNINGSIDE,ACTIVE,CLOSED,EDI,TRUE,TRUE,19.78,CHP,MOUNT SINAI MORNINGSIDE,1109-900110-02-4058-0000000000-0000-000-000,False,MSHS-BRAUN-PP-IV,Yes,Yes,19.78,8323969,B. BRAUN,B. BRAUN,NF,12,No, ,NO,903037, MED/SURG DISPOSABLE,8/23/2024 12:00:00 AM,CLOSED,2-1-1,19.78,APPROVED,CASE,8/23/2024 12:00:00 AM,NF,8/23/2024 12:00:00 AM,3386134,"TORRES, ERIKA E",,,SL ST LUKES,19.78,ELECTROLYTES,51191602,AGENTS AFFECTING WATER AND ELECTROLYTES,MEDLINE INDUSTRIES INC,12422
MEDLINE INDUSTRIES INC,2024,"MATERIALS MANAGEMENT STORE ROOM, 60404",MOUNT SINAI BETH ISRAEL,B. BRAUN MEDICAL,PHARMACEUTICAL PRODUCTS INCL. CONTRACEPTIVES AND VACCINES,True,True,PROCESSED,903037,"903037, MED/SURG DISPOSABLE",MOUNT SINAI BETH ISRAEL,Yes,E8000,B. BRAUN MEDICAL,6/24/2024 12:00:00 AM,1314081-51807,GOODS,SOL SOD CHL 0.9 PERC 1000ML INJ BAG - SUB 1 FOR L8000E8000BMGE8000,ORAPOS,SODIUM CHLORIDE ELECTROLYTES,BMGE8000,MATERIALS MANAGEMENT STORE ROOM,60404,MED/SURG DISPOSABLE,MSHS-BRAUN-PP-IV,MSHS-BRAUN-PP-IV,SOL SOD CHL 0.9 PERC 1000ML INJ BAG - SUB 1 FOR L8000,903037,E8000,4,4,4,4,12,48,48,79.12,79.12,401-954-11-60404-00000000000-0-0,NF,BUYER   CONVERSION,"BUYER, CONVERSION","SODIUM CHLORIDE ELECTROLYTES 
 
B. BRAUN MEDICAL",SYSTEM CREATED,CP 8835 4409,"MATERIALS MANAGEMENT STORE ROOM, 60404",MOUNT SINAI BETH ISRAEL,ACTIVE,CLOSED,EDI,TRUE,TRUE,79.12,CHP,MOUNT SINAI BETH ISRAEL,4409-900110-00-8835-0000000000-0000-000-000,False,MSHS-BRAUN-PP-IV,Yes,Yes,79.12,8323969,B. BRAUN MEDICAL,B. BRAUN MEDICAL,CA12,12,No, ,NO,903037, MED/SURG DISPOSABLE,6/24/2024 12:00:00 AM,CLOSED,1174-1-1,19.78,APPROVED,CASE,6/24/2024 12:00:00 AM,NF,6/24/2024 12:00:00 AM,3364668,"PANEQUE, RUBY",,,MT SINAI BETH ISRAEL,79.12,ELECTROLYTES,51191602,AGENTS AFFECTING WATER AND ELECTROLYTES,MEDLINE INDUSTRIES INC,12422
MEDLINE INDUSTRIES INC,2024,"CARDIAC CATHERIZATION, 12605",MOUNT SINAI MORNINGSIDE,B. BRAUN MEDICAL,PHARMACEUTICAL PRODUCTS INCL. CONTRACEPTIVES AND VACCINES,True,True,PROCESSED,903037,"903037, MED/SURG DISPOSABLE",MOUNT SINAI MORNINGSIDE,Yes,E8000,B. BRAUN MEDICAL,5/6/2024 12:00:00 AM,1314081-48674,GOODS,SOL SOD CHL 0.9 PERC 1000ML INJ BAG - SUB 1 FOR L8000E8000BMGE8000,ORAPOS,SODIUM CHLORIDE ELECTROLYTES,BMGE8000,CARDIAC CATHERIZATION,12605,MED/SURG DISPOSABLE,MSHS-BRAUN-PP-IV,MSHS-BRAUN-PP-IV,SOL SOD CHL 0.9 PERC 1000ML INJ BAG - SUB 1 FOR L8000,903037,E8000,4,4,4,4,12,48,48,79.12,79.12,302-302-11-12605-00000000000-0-0,NF,BUYER   CONVERSION,"BUYER, CONVERSION","SODIUM CHLORIDE ELECTROLYTES 
 
B. BRAUN MEDICAL",SYSTEM CREATED,SLCCLSR03A,"CARDIAC CATHERIZATION, 12605",MOUNT SINAI MORNINGSIDE,ACTIVE,CLOSED,EDI,TRUE,TRUE,79.12,CHP,MOUNT SINAI MORNINGSIDE,1109-900110-02-4058-0000000000-0000-000-000,False,MSHS-BRAUN-PP-IV,Yes,Yes,79.12,8323969,B. BRAUN MEDICAL,B. BRAUN MEDICAL,CA12,12,No, ,NO,903037, MED/SURG DISPOSABLE,5/6/2024 12:00:00 AM,CLOSED,1174-2-1,19.78,APPROVED,CASE,5/6/2024 12:00:00 AM,NF,5/6/2024 12:00:00 AM,3347321,"TORRES, ERIKA E",,,SL ST LUKES,79.12,ELECTROLYTES,51191602,AGENTS AFFECTING WATER AND ELECTROLYTES,MEDLINE INDUSTRIES INC,12422
